Ticker,Trimestre,Lucro líquido,Outras desp/receitas,Res. imóveis estoque,Res. imóveis renda,Resultado TVM,Resultado financeiro
BCFF11,3T2020,10.714,-5.971,0,0,15.657,1.028
BCFF11,3T2021,-1.865,-6.947,0,0,3.718,1.364
BCFF11,3T2022,74.327,-6.619,0,0,78.915,2.032
BCFF11,3T2023,97.383,-6.629,0,0,100.647,3.366
BCFF11,4T2017,7.072,-1.725,0,0,8.222,575
BCFF11,4T2018,32.841,-1.775,0,-738,34.997,357
BCFF11,4T2019,167.987,-4.028,0,0,171.054,961
BCFF11,4T2022,-70.343,-6.607,0,0,-66.757,3.021
BCFF11,4T2023,60.189,-6.703,0,0,65.325,1.566
BCIA11,1T2017,9.316,-739,0,0,9.942,112
BCIA11,1T2018,11.737,-777,0,0,11.914,600
BCIA11,1T2019,9.219,-490,0,0,9.709,0
BCIA11,1T2020,-53.651,-1.442,0,0,-52.208,0
BCIA11,1T2021,-9.638,-932,0,0,-8.706,0
BCIA11,1T2023,-6.465,-518,0,0,-5.947,0
BCIA11,1T2024,3.995,-573,0,0,4.569,0
BCIA11,2T2017,525,-350,0,0,719,155
BCIA11,2T2018,-28.216,-507,0,0,-27.686,-24
BCIA11,2T2019,7.193,-437,0,0,7.630,0
BCIA11,2T2021,-14.216,-952,0,0,-13.264,0
BCIA11,2T2023,55.100,-548,0,0,55.648,0
BCIA11,2T2024,-477,-664,0,0,187,0
BCIA11,3T2017,9.341,-95,0,0,8.696,739
BCIA11,3T2018,2.222,1.078,0,0,1.143,1
BCIA11,3T2019,5.783,-765,0,0,6.548,0
BCIA11,3T2023,15.376,-538,0,0,15.915,0
BCIA11,4T2017,10.471,-1.040,0,0,9.321,2.190
BCIA11,4T2018,26.636,-655,0,0,27.024,267
BCIA11,4T2019,48.128,-2.196,0,0,50.324,0
BCIA11,4T2022,-21.644,-510,0,0,-21.134,0
BCIA11,4T2023,-10.780,634,0,0,-11.414,0
BCRI11,1T2017,4.031,-303,0,0,4.242,92
BCRI11,1T2018,4.852,-361,0,0,5.186,27
BCRI11,1T2019,19.762,-393,0,0,17.208,2.947
BCRI11,1T2020,365,-786,0,0,1.023,128
BCRI11,1T2021,22.317,-4.366,0,0,26.085,597
BCRI11,1T2022,22.024,-1.965,0,0,23.355,634
BCRI11,1T2023,3.070,74,0,0,1.997,998
BCRI11,2T2017,12,-347,0,0,73,286
BCRI11,2T2018,-948,-339,0,0,-673,64
BCRI11,2T2019,5.065,-689,0,0,5.722,32
BCRI11,2T2021,12.083,-1.517,0,0,13.406,193
BCRI11,2T2022,30.364,-1.852,0,0,31.662,555
BCRI11,2T2023,18.082,-3.313,0,0,20.115,1.280
BCRI11,2T2024,661,-1.613,0,0,1.118,1.155
BCRI11,3T2017,3.954,-385,0,0,4.073,266
BCRI11,3T2018,4.245,-353,0,0,4.579,19
BCRI11,3T2019,5.885,-443,0,0,6.330,-2
BCRI11,3T2020,4.904,-1.130,0,0,5.579,455
BCRI11,3T2021,19.764,-1.926,0,0,19.803,1.886
BCRI11,3T2022,1.613,-1.993,0,0,2.798,807
BCRI11,3T2023,-4.724,-1.525,0,0,-4.566,1.367
BCRI11,4T2017,1.494,-343,0,0,1.739,97
BCRI11,4T2018,8.622,-428,0,0,9.040,10
BCRI11,4T2019,6.490,-896,0,0,8.353,-968
BCRI11,4T2022,2.844,-1.766,0,0,3.802,808
BCRI11,4T2023,16.265,-1.391,0,0,16.188,1.467
BICR11,1T2020,-4.847,42,0,0,-4.888,0
BICR11,1T2021,-7,-77,0,0,70,0
BICR11,1T2022,771,-83,0,0,568,286
BICR11,1T2023,1.163,-88,0,0,688,563
BICR11,1T2024,-349,-47,0,0,-440,139
BICR11,2T2020,-4.334,-95,0,0,-4.240,0
BICR11,2T2021,677,-154,0,0,831,0
BICR11,2T2022,2.284,-168,0,0,1.775,677
BICR11,2T2023,3.385,-169,0,0,2.517,1.037
BICR11,2T2024,662,-97,0,0,479,280
BICR11,3T2020,-304,-77,0,0,-227,0
BICR11,3T2021,755,-83,0,0,838,0
BICR11,3T2022,1.324,-90,0,0,336,1.078
BICR11,3T2023,1.333,-82,0,0,1.061,354
BICR11,4T2020,562,-168,0,0,718,12
BICR11,4T2021,1.869,-172,0,0,2.042,0
BICR11,4T2022,2.214,-183,0,0,1.485,913
BICR11,4T2023,1.362,-165,0,0,940,587
BIME11,1T2022,1.679,-353,0,0,1.865,167
BIME11,1T2024,815,-219,0,46,958,31
BIME11,2T2023,931,-303,0,10,1.173,51
BIME11,2T2024,801,-131,0,86,802,43
BIME11,3T2023,931,-303,0,10,1.173,51
BIME11,4T2021,1.189,-224,0,0,1.131,282
BIME11,4T2023,1.972,-251,0,135,2.037,51
BLMC11,1T2021,131,-28,0,0,157,2
BLMC11,1T2022,-187,-131,0,0,-103,47
BLMC11,1T2023,1.402,-146,0,0,1.504,44
BLMC11,1T2024,-2.887,-564,0,0,-2.557,234
BLMC11,2T2021,1.425,-99,0,0,1.478,47
BLMC11,2T2022,1.405,-149,0,0,1.525,29
BLMC11,2T2023,1.819,-149,0,0,1.898,70
BLMC11,3T2021,1.017,-138,0,0,1.121,33
BLMC11,3T2022,1.323,-147,0,0,1.446,24
BLMC11,3T2023,381,-149,0,0,410,121
