Ticker,Trimestre,% despesas,% em caixa,Div. Yield,Inadimplência,Negócios/dia,P/VP,Patrimônio,Qnt. cotas,Qnt. cotistas,VP por cota,Vacância,Valor merc.,Volume diário
RFOF11,2T2024,"0,40%","2,44%","12,35%",0%,260,"0,95","82,69 M","1,1 M",4.840,"76,70",0%,"78,81 M","136,83 K"
RFOF11,3T2020,"0,33%","2,10%","3,82%",0%,182,"0,88","102,64 M","1,1 M",2.428,"95,20",0%,"90,03 M","305,78 K"
RFOF11,3T2021,"0,33%","1,02%","13,34%",0%,462,"0,93","93,08 M","1,1 M",6.409,"86,33",0%,"86,25 M","256,42 K"
RFOF11,3T2022,"0,28%","2,96%","12,79%",0%,227,"0,90","93,48 M","1,1 M",5.807,"86,70",0%,"84,00 M","157,28 K"
RFOF11,3T2023,"0,43%","4,79%","12,01%",0%,97,"0,97","88,79 M","1,1 M",4.889,"82,35",0%,"86,05 M","93,79 K"
RFOF11,4T2020,"0,35%","0,24%","6,83%",0%,286,"0,93","102,79 M","1,1 M",2.734,"95,33",0%,"95,42 M","287,33 K"
RFOF11,4T2021,"0,28%","0,81%","13,79%",0%,384,"0,87","93,23 M","1,1 M",6.679,"86,47",0%,"80,81 M","157,17 K"
RFOF11,4T2022,"0,28%","1,73%","14,31%",0%,257,"0,88","86,19 M","1,1 M",5.313,"79,94",0%,"75,47 M","173,31 K"
RFOF11,4T2023,"0,35%","7,73%","12,02%",0%,213,"0,95","87,98 M","1,1 M",4.785,"81,60",0%,"83,58 M","85,19 K"
RINV11,1T2023,"0,36%","6,74%","2,28%",0%,225,"1,01","28,47 M","300,1 K",170,"94,86",0%,"28,89 M","265,89 K"
RINV11,1T2024,"0,16%","2,68%","14,68%",0%,150,"1,03","92,80 M","845,4 K",1.524,"109,77",0%,"95,53 M","194,86 K"
RINV11,2T2023,"-1,42%","8,16%","6,02%",0%,39,"1,01","32,84 M","300,1 K",199,"109,43",0%,"33,01 M","129,14 K"
RINV11,2T2024,"0,21%","9,61%","13,18%",0%,312,"1,05","206,55 M","1,9 M",2.571,"106,54",0%,"216,45 M","505,20 K"
RINV11,3T2023,"0,92%","21,57%","10,09%",0%,138,"1,05","76,98 M","711,0 K",722,"108,27",0%,"80,71 M","312,04 K"
RINV11,4T2022,"0,00%","0,00%","0,00%",0%,0,"0,00","0,00","0,0",0,"0,00",0%,"0,00","0,00"
RINV11,4T2023,"0,77%","5,48%","13,44%",0%,126,"1,04","92,45 M","845,4 K",1.008,"109,35",0%,"95,70 M","361,79 K"
