Nome,CNPJ,Emissão,Série,Valor,Ticker,Ano
OURINVEST SECURITIZADORA SA,12.320.349/0001-90,1,46,"3.926.376,71",MORC11,2023
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,1,196,"3.127.625,31",MORC11,2023
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,18,1,"2.746.392,25",MORC11,2023
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,1,241,"2.465.165,49",MORC11,2023
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4,252,"2.139.717,17",MORC11,2023
VERT COMPANHIA SECURITIZADORA,25.005.683/0001-09,60,2,"2.056.346,42",MORC11,2023
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,1,312,"1.941.463,85",MORC11,2023
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4,403,"1.794.875,74",MORC11,2023
BARIGUI SECURITIZADORA S.A.,10.608.405/0001-60,18/03/2022,99,"11.925.373,38",MORC11,2022
VERT COMPANHIA SECURITIZADORA,25.005.683/0001-09,09/12/2021,1,"10.332.740,68",MORC11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,27/05/2022,1,"9.947.076,35",MORC11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,06/07/2022,1,"9.250.146,55",MORC11,2022
OURINVEST SECURITIZADORA SA,12.320.349/0001-90,23/08/2021,43,"9.090.063,34",MORC11,2022
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,11/05/2022,1,"8.989.436,86",MORC11,2022
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,01/08/2022,1,"8.474.633,79",MORC11,2022
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,06/06/2022,1,"7.805.421,30",MORC11,2022
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,15/10/2021,433,"7.448.531,04",MORC11,2022
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,31/10/2022,1,"6.689.217,71",MORC11,2022
BARIGUI SECURITIZADORA S.A.,10.608.405/0001-60,22/11/2021,97,"6.612.522,90",MORC11,2022
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,12/03/2021,240,"5.868.852,52",MORC11,2022
OURINVEST SECURITIZADORA SA,12.320.349/0001-90,24/09/2021,46,"5.528.208,58",MORC11,2022
REIT SECURITIZADORA S.A.,13.349.677/0001-81,26/07/2021,22,"4.478.959,92",MORC11,2022
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,06/08/2021,320,"3.944.581,82",MORC11,2022
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,17/12/2020,196,"3.389.030,90",MORC11,2022
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,27/04/2021,252,"2.458.932,45",MORC11,2022
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,12/03/2021,241,"2.286.400,57",MORC11,2022
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,22/10/2021,403,"2.285.653,59",MORC11,2022
VERT COMPANHIA SECURITIZADORA,25.005.683/0001-09,09/12/2021,2,"2.062.423,29",MORC11,2022
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,10/12/2021,313,"1.933.097,57",MORC11,2022
