Nome,Área,Endereço,Núm. unidades,Vacância,Inadimplência,Share sobre receita,Ticker,Ano,Papel,Nome do fundo,CNPJ,Valor,Emissão,Série
Dasa - Sumare,"5.227,43 m2","Avenida Sumare, 1500, Sem Complemento, Perdizes, Sao Paulo/SP, Brasil, 05016-110",1,"0,00%","0,00%","5,12%",ALZR11,2023,,,,,,
Air Liquide - Vila Carioca,"5.008,00 m2","Avenida Carioca, 798, Antigo Numero 70, Lote 30, Vila Carioca, Sao Paulo/SP, Brasil, 04225-002",1,"0,00%","0,00%","4,88%",ALZR11,2023,,,,,,
Ed. Moderna/Santillana - Belenzinho,"9.260,00 m2","Rua Padre Adelino, 758, Sem Complemento, Quarta Parada, Sao Paulo/SP, Brasil, 03303-000",1,"0,00%","0,00%","4,87%",ALZR11,2023,,,,,,
APTIV - Espirito Santo do Pinhal,"18.591,00 m2","Rod. Dr. Gov. Ademar Pereira De Barros, Km 195, 195, , , Espirito Santo Do Pinhal/SP, Brasil, 13990-000",1,"0,00%","0,00%","3,96%",ALZR11,2023,,,,,,
Decatlhon - Morumbi,"28.500,00 m2","Avenida Duquesa De Goias, 381, Sem Complemento, Real Parque, Sao Paulo/SP, Brasil, 05686-001",1,"0,00%","0,00%","3,52%",ALZR11,2023,,,,,,
Globo - Jardim Botanico,"3.815,52 m2","Rua Pacheco Leao, 70, Sem Complemento, Jardim Botanico, Rio De Janeiro/RJ, Brasil, 22460-030",1,"0,00%","0,00%","3,33%",ALZR11,2023,,,,,,
Dasa - Ascendino Reis,"2.283,66 m2","Avenida Professor Ascendino Reis, 549, Sem Complemento, Vila Clementino, Sao Paulo/SP, Brasil, 04027-000",1,"0,00%","0,00%","1,91%",ALZR11,2023,,,,,,
BRF - Bauru,"3.627,00 m2","Avenida Nacoes Unidas, 51, 51 - 15, Jardim Godoy, Bauru/SP, Brasil, 17021-365",1,"0,00%","0,00%","1,77%",ALZR11,2023,,,,,,
BRF - Guarulhos,"3.459,00 m2","Rua Barao De Penedo, 435, Sem Complemento, Cidade Industrial Satelite De Sao Paulo, Guarulhos/SP, Brasil, 07222-015",1,"0,00%","0,00%","1,58%",ALZR11,2023,,,,,,
Ed. Araporé - Jd Guedala,"4.517,00 m2","Rua Arapore, 655, Sem Complemento, Jardim Guedala, Sao Paulo/SP, Brasil, 05608-001",1,"100,00%","0,00%","0,00%",ALZR11,2023,,,,,,
Empreendimento Atento Del Castilho,"8.178,00 m2","Avenida Dom Hélder Câmara, 3.203 e 3.229, Del Castilho, Rio De Janeiro/RJ, Brasil, 21050-624",1,"0,00%","0,00%","7,89%",ALZR11,2022,,,,,,
Empreendimento Pandurata-Bauducco,"11.832,59 m2","Rua Fritz Reiman, 628, Itapegica, Guarulhos, SP, 02236-040",1,"0,00%","0,00%","7,22%",ALZR11,2022,,,,,,
Dasa - Sumaré,"5.227,43 m2","Avenida Sumaré, 1500, Perdizes, Sao Paulo/SP, Brasil, 05016-110",1,"0,00%","0,00%","6,51%",ALZR11,2022,,,,,,
Galpão Air Liquide,"5.008,00 m2","Av. Presidente Wilson s/n.º 6000, São Paulo, SP, 03107-002",1,"0,00%","0,00%","6,20%",ALZR11,2022,,,,,,
Empreendimento Ed. Moderna,"9.260,00 m2","Rua Padre Adelino, 758, Quarta Parada, São Paulo/SP, Brasil, 03303-000",1,"0,00%","0,00%","6,19%",ALZR11,2022,,,,,,
APTIV Espirito Santo do Pinhal,"18.591,00 m2","Rua José Monfardini 3845, Lote A, Espírito Santo do Pinhal, SP, 13990-000",1,"0,00%","0,00%","5,04%",ALZR11,2022,,,,,,
Imóvel Decatlhon - Morumbi,"28.500,00 m2","Avenida Duquesa De Goias, 381, Real Parque, Sao Paulo/SP, Brasil, 05686-001",1,"0,00%","0,00%","4,35%",ALZR11,2022,,,,,,
Imóvel Globo - Jardim Botânico,"3.815,52 m2","Rua Pacheco Leao, 70, Jardim Botânico, Rio De Janeiro/RJ, Brasil, 22460-030",1,"0,00%","0,00%","4,23%",ALZR11,2022,,,,,,
Empreendimento Momentum,"4.517,00 m2","Rua Arapore, 655, Jardim Guedala, São Paulo/SP, Brasil, 05608-001",1,"0,00%","0,00%","2,60%",ALZR11,2022,,,,,,
Dasa - Ascendino Reis,"2.283,66 m2","Avenida Professor Ascendino Reis, 545, Vila Clementino, Sao Paulo/SP, Brasil, 04027-000",1,"0,00%","0,00%","2,43%",ALZR11,2022,,,,,,
Galpão BRF Bauru,"3.627,00 m2","Avenida Nações Unidas, 51 - 15, Jardim Godoy, Bauru/SP, Brasil, 17021-365",1,"0,00%","0,00%","2,28%",ALZR11,2022,,,,,,
Galpão BRF Guarulhos,"3.459,00 m2","Rua Barão De Penedo, 238, P1, P13 e P14, Guarulhos/SP, Brasil, 07222-015",1,"0,00%","0,00%","2,04%",ALZR11,2022,,,,,,
