Ticker,Periodo,Aluguéis,Ativo total,CRIs,Caixa,Disponibilidades,FIIs,Imóveis,Outros,Outros val. pagar,Passivo total,Patrimônio líquido,Rend. a distribuir,Renda fixa,Taxa administração,Taxa performance,Total investido,Títulos privados,Títulos públicos,Valores a receber,Venda de imóveis
ABCP11,7/2017,6.152,687.429,0,10,5.552,0,674.020,0,485,5.206,682.223,4.665,5.542,57,0,674.020,0,0,7.857,0
ABCP11,7/2018,8.147,789.709,0,175,7.478,0,774.051,0,213,5.097,784.612,4.798,7.304,85,0,774.051,0,0,8.180,0
ABCP11,7/2019,10.013,916.834,0,6,11.716,0,894.848,0,1.547,6.847,909.987,5.225,11.710,74,0,894.848,0,0,10.271,0
ABCP11,7/2020,11.453,1.039.826,0,5,6.346,0,1.021.481,0,1.387,1.513,1.038.313,39,6.341,87,0,1.021.481,0,0,11.998,0
ABCP11,7/2021,14.710,1.087.848,0,11,15.433,0,1.056.263,0,1.497,8.757,1.079.091,7.177,15.422,83,0,1.056.263,0,0,16.152,0
ABCP11,7/2022,13.916,1.128.319,0,10,19.392,0,1.093.309,0,1.314,8.589,1.119.730,7.181,19.383,93,0,1.093.309,0,0,15.618,0
ABCP11,7/2023,5.613,436.007,0,5,6.599,0,420.946,0,914,3.454,432.553,2.443,6.593,97,0,420.946,0,0,8.462,0
ABCP11,7/2024,6.400,483.719,0,5,10.983,0,465.648,0,621,3.753,479.966,3.036,10.978,97,0,465.648,0,0,7.088,0
ABCP11,8/2017,5.987,687.636,0,834,6.045,0,674.020,0,307,5.249,682.387,4.885,5.211,57,0,674.020,0,0,7.571,0
ABCP11,8/2018,8.427,790.598,0,238,8.086,0,774.051,0,213,5.477,785.121,5.200,7.847,63,0,774.051,0,0,8.462,0
ABCP11,8/2019,9.687,917.426,0,5,12.667,0,894.848,0,1.480,7.565,909.861,6.008,12.662,76,0,894.848,0,0,9.911,0
ABCP11,8/2020,13.169,1.042.786,0,6,7.814,0,1.021.481,0,1.396,2.864,1.039.922,1.381,7.808,87,0,1.021.481,0,0,13.491,0
ABCP11,8/2021,15.689,1.088.117,0,11,14.110,0,1.056.263,0,1.507,7.427,1.080.690,5.836,14.099,83,0,1.056.263,0,0,17.744,0
ABCP11,8/2022,14.126,1.128.935,0,10,20.020,0,1.093.309,0,1.448,8.983,1.119.952,7.442,20.010,93,0,1.093.309,0,0,15.607,0
ABCP11,8/2023,5.436,436.047,0,6,6.881,0,420.946,0,845,3.386,432.661,2.444,6.875,97,0,420.946,0,0,8.221,0
ABCP11,9/2017,5.978,687.748,0,1.267,6.128,0,674.020,0,213,4.064,683.684,3.794,4.861,57,0,674.020,0,0,7.600,0
ABCP11,9/2018,8.294,790.800,0,9,8.269,0,774.051,0,213,5.476,785.324,5.201,8.260,61,0,774.051,0,0,8.480,0
