Ticker,Title,Endereço,Bairro,Cidade,Área Bruta Locável
BBPO11,AG. DUQUE DE CAXIAS,Av. Pres. Kennedy,,,"3.535,61 m2"
BBPO11,AG. CATEDRAL-SOROCABA,Rua XV de Novembro,,,"2.089,12 m2"
BBPO11,AG. UBERLANDIA,Avenida Afonso Pena,Centro,Uberlândia - MG,"6.241,00 m2"
BBPO11,AG. CONJUNTO NACIONAL,SDN CONJ A LOJA C-03 2 PAVIMENTO,,SDN CONJ A LOJA C-03 2 PAVIMENTO - DF,"1.207,40 m2"
BBRC11,Ag. Estilo Av. Portugal,Avenida Portugal,Vila Bastos,Santo André - SP,"657,94 m2"
BBRC11,Ag. Pq. Boturussu,Avenida São Miguel,Ponte Rasa,São Paulo - SP,"775,41 m2"
BBRC11,Ag. Estilo Butantã,Avenida Professor Francisco Morato,Butantã,São Paulo - SP,"741,56 m2"
BBRC11,Ag. Pedro Pinho,Avenida General Pedro Pinho,Pestana,Osasco - SP,"953,20 m2"
BBRC11,Ag. Estilo Santo Amaro,Rua Marechal Deodoro,Santo Amaro,São Paulo - SP,"592,74 m2"
BBRC11,Ag. Av. Francisco Morato,Avenida Professor Francisco Morato,Butantã,São Paulo - SP,"893,23 m2"
BBRC11,Ag. Parque da Aclimação,Rua Pires da Mota,Liberdade,São Paulo - SP,"839,35 m2"
BBRC11,Ag. Estilo Nova Faria Lima,Alameda Gabriel Monteiro da Silva,Pinheiros,São Paulo - SP,"601,63 m2"
BBRC11,Ag. Demarchi,Avenida Maria Servidei Demarchi,Demarchi,São Bernardo do Campo - SP,"691,63 m2"
BBRC11,Ag. Estilo Cambuí,Rua Coronel Quirino,Cambuí,Campinas - SP,"748,68 m2"
BBRC11,Ag. Paes de Barros,Avenida Paes de Barros,Móoca,São Paulo - SP,"819,72 m2"
BBRC11,Ag. Estilo Estados Unidos,Rua Estados Unidos,Jardim Paulista,São Paulo - SP,"582,92 m2"
BBRC11,Ag. Estilo Vila Esperança,Avenida Amador Bueno da Veiga,Penha,São Paulo - SP,"583,13 m2"
BBRC11,Ag. Estilo Indianópolis,Avenida Indianópolis,Moema,São Paulo - SP,"674,39 m2"
